FIGI,Name,Ticker,Exchange Code,Security Type,Market Sector,FIGI Composite,Share Class,Security Description,Security Type 2,bloomberg_url,exists_on_bloomberg
BBG002ZQ8YR7,FORPOSTA SA,FPO,PW,Common Stock,Equity,BBG002ZQ8YQ8,BBG002ZQ8YV2,FPO,Common Stock,https://www.bloomberg.com/quote/FPO:PZ,True
BBG0032H9JT1,ATENDE SA,ATD,PW,Common Stock,Equity,BBG002XQ2017,BBG002XQ2026,ATD,Common Stock,https://www.bloomberg.com/quote/ATD:PZ,True
BBG0033ND1T1,KANCELARIA MEDIUS SA,KME,PW,Common Stock,Equity,BBG0033ND1S2,BBG0033ND1X6,KME,Common Stock,https://www.bloomberg.com/quote/KME:PZ,True
BBG0033XY7D0,PRIME SA,PRA,PW,Common Stock,Equity,BBG0033XY7C1,BBG0033XY7H6,PRA,Common Stock,https://www.bloomberg.com/quote/PRA:PZ,True
BBG00351CLG8,MERLIN GROUP SA,MRG,PW,Common Stock,Equity,BBG003433W17,BBG003433W26,MRG,Common Stock,https://www.bloomberg.com/quote/MRG:PZ,True
BBG00358FD78,NOVINA POZYCZKIHIPOTECZNE.EU,NOV,PW,Common Stock,Equity,BBG00358FD69,BBG00358FDB3,NOV,Common Stock,https://www.bloomberg.com/quote/NOV:PZ,True
BBG0035WMKH0,BROWAR CZARNKOW SA,BRO,PW,Common Stock,Equity,BBG0035WMKG1,BBG0035WMKL5,BRO,Common Stock,https://www.bloomberg.com/quote/BRO:PZ,True
BBG00363T0R9,DATAWALK SA,DAT,PW,Common Stock,Equity,BBG00363T0Q0,BBG00363T0V4,DAT,Common Stock,https://www.bloomberg.com/quote/DAT:PZ,True
BBG00366FWL3,PCC EXOL SA,PCX,PW,Common Stock,Equity,BBG002N3NKZ5,BBG002N3NL01,PCX,Common Stock,https://www.bloomberg.com/quote/PCX:PZ,True
BBG0038K0ZJ2,ONE MORE LEVEL SA,LSR,PW,Common Stock,Equity,BBG0038JN5V2,BBG0038JN5W1,LSR,Common Stock,https://www.bloomberg.com/quote/LSR:PZ,True
BBG0038K3925,TERMOEXPERT SA,TME,PW,Common Stock,Equity,BBG0038JMT41,BBG0038JMT50,TME,Common Stock,https://www.bloomberg.com/quote/TME:PZ,True
BBG0038K3BM8,PIXEL CROW GAMES SA,PIX,PW,Common Stock,Equity,BBG0038JMQ92,BBG0038JMQB9,PIX,Common Stock,https://www.bloomberg.com/quote/PIX:PZ,True
BBG003BQQ898,PRYMUS SA,PRS,PW,Common Stock,Equity,BBG003BQQ889,BBG003BQQ8D3,PRS,Common Stock,https://www.bloomberg.com/quote/PRS:PZ,True
BBG003G0PZF4,LUDUS SA,LUD,PW,Common Stock,Equity,BBG003G0PZD6,BBG003G0PZJ0,LUD,Common Stock,https://www.bloomberg.com/quote/LUD:PZ,True
